TYPE;NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation;Location
0;M107;NGC 6171;globular_cluster;Summer / Été;8;Serpent Holder;Ophiuchus;Ophiuchus;16:32:31.92;-13:03:13.1;19200;7,8';M107.jpg;http://www.lasam.ca/M107.JPG;Oph;location/Messier-107-location.jpg
0;M108;NGC 3556;galaxy;Spring / Printemps;10;Big Bear;Grande Ourse;Ursa Major;11:11:30.97;+55:40:26.8;23500000;8,3' x 2,5';M108.jpg;http://www.lasam.ca/M108.JPG;UMa;location/Messier-108-location.jpg
0;M109;NGC 3992;galaxy;Autumn / Automne;9;Big Bear;Grande Ourse;Ursa Major;11:57:35.98;+53:22:28.3;27000000;7,6' x 4,9';M109.jpg;http://www.lasam.ca/M109.JPG;UMa;location/Messier-109-location.jpg
0;M110;NGC 205;galaxy;Autumn / Automne;8;Andromeda;Andromède;Andromeda;00:40:22.08;+41:41:07.1;2250000;17,0, x 9,8';M110.jpg;http://www.lasam.ca/M110.JPG;And;location/Messier-110-location.jpg
0;B33;IC434;dark_nebula;Winter / Hiver;7;Orion, Hunter;Orion;Orion;05:40:59.00;-02:27:30.0;;8' x 6';B33.jpg;-;Ori;location/B33-location.jpg
0;NGC6992;NGC 6992;supernova_remnant;Summer / Été;11;Cygnus;Cygnus;Cygnus;20:56:06.00;+30:41:0.0;;230'x160';NGC6992.jpg;-;Cyg;location/location_6992.png
0;NGC2244;NGC 2244;galaxy;Winter / Hiver;5;Monoceros;Monoceros;Monoceros;06:32:31.00;+04:54:43.00;5000;30' x 30';NGC2244.jpg;-;Mon;location/location_ngc2244.png
0;NGC7331;NGC 7331;galaxy;Autumn / Automne;9;Pegasus;Pegasus;Pegasus;22:37:04.00;+34:24:56.00;40000000;10' x 4' ;NGC7331.jpg;-;Peg;location/location_ngc7331.png
0;NGC7293;NGC 7293;planetary_nebula;Autumn / Automne;13;Aquarius;Aquarius;Aquarius;22:29:38.00;-20:50:13.00;700;16' x 16';NGC7293.jpg;-;Aqu;location/location_ngc7293.png
0;NGC7686;NGC 7686;open_cluster;Autumn / Automne;10;Andromeda;Andromeda;Andromeda;23:30:40.00;+61:41:53.00;1800;15' x 15;NGC7686.jpg;-;And;location/location_NGC7686.png
0;NGC7662;NGC 7662;planetary_nebula;Summer / Été;9;Lyra;Lyra;Lyra;18:36:58.00;+33:59:20.00;1600;1' x 1';NGC7662.jpg;-;Lyr;location/location_7662.png
0;NGC752;NGC 752;open_cluster;Winter / Hiver;12;Cassiopeia;Cassiopeia;Cassiopeia;01:57:41.00;+37:42:06.00;1300;60' x 60';NGC752.jpg;-;Cas;location/location_ngc752.png
0;NGC7009;NGC 7009;planetary_nebula;Summer / Été;9;Aquarius;Aquarius;Aquarius;21:04:10.00;-11:21:48.00;2000;"41"" x 31""";NGC7009.jpg;-;Aqu;location/location_ngc7009.png
0;NGC7184;NGC 7184;galaxy;Autumn / Automne;12;Pegasus;Pegasus;Pegasus;22:03:46.00;-26:18:11.00;72000000; 5' x 3';NGC7184.jpg;-;Peg;location/location_ngc7184.png
0;NGC6781;NGC 6781;planetary_nebula;Autumn / Automne;12;Aquarius;Aquarius;Aquarius;19:18:25.00;+06:32:45.00;4000;"30"" x 20""";NGC6781.jpg;-;Aqu;location/location_ngc6781.png
0;NGC5248;NGC 5248;galaxy;Autumn / Automne;11;Bootes;Bootes;Bootes;13:37:03.00;+49:53:25.00;27000000; 6' x 3';NGC5248.jpg;-;Boo;location/location_ngc5248.png
0;NGC2775;NGC 2775;galaxy;Autumn / Automne;10;Lynx;Lynx;Lynx;09:10:45.00;+07:02:59.00;67000000;7' x 4';NGC2775.jpg;-;Lyn;location/location_2775.png
0;NGC4631;NGC 4631;galaxy;Spring / Printemps;9;Canes Venatici;Canes Venatici;Canes Venatici;12:42:08.00;+32:32:29.00;25000000;18' x 2';NGC4631.jpg;-;Can;location/location_ngc4631.png
0;NGC6826;NGC 6826;planetary_nebula;Summer / Été;9;Cygnus;Cygnus;Cygnus;19:44:48.00;+50:31:31.00;2200;"60"" x 60""";NGC6826.jpg;-;Cyg;location/location_ngc6826.png
0;NGC7008;NGC 7008;planetary_nebula;Summer / Été;12;Cygnus;Cygnus;Cygnus;21:00:30.00;+54:32:33.00;2600;"55"" x 55""";NGC7008.jpg;-;Cyg;location/location_ngc7008.png
0;NGC6543;NGC 6543;planetary_nebula;Summer / Été;8;Draco;Draco;Draco;17:58:33.00;+66:37:59.00;2000;"27"" x 18""";NGC6543.jpg;-;Dra;location/location_ngc6543.png
0;NGC2371;NGC 2371;planetary_nebula;Winter / Hiver;14;Gemini;Gemini;Gemini;07:25:28.00;+29:29:04.00;4400;"20"" x 15""";NGC2371.jpg;-;Gem;location/location_ngc2371.png
0;NGC2440;NGC 2440;planetary_nebula;Winter / Hiver;9;Puppis;Puppis;Puppis;07:41:54.00;+18:12:29.00;4000;"45"" x 30""";NGC2440.jpg;-;Pup;location/location_ngc2440.png
0;NGC2237/2244;NGC2237/2244;emission_nebula;Autumn / Automne;9;Unicorn;Licorne;Unicorn;06:30:54.6;+05:02:57.2;4710;130' x 110';NGC2244.jpg;-;Mon;
0;NGC4438;NGC4438;galaxy;Autumn / Automne;10;Virgo;Vierge;Virgo;12:27:45.6;+13:00:31.0;52000000;9' x 4';NGC4438.jpg;-;;
0;NGC884/869;NGC884/869;open_cluster;Autumn / Automne;3.7;Perseus;Persée;Perseus;02:19:06.0;+57:9:0.0;7640;60' x 60';NGC884.jpg;-;;
0;NGC6960;NGC6960;emission_nebula;Autumn / Automne;7;Cygnus;Cygne;Cygnus;20:45:38.0;+30:42:30.0;2400;3°;NGC6960.jpg;-;;
0;NGC7789;NGC7789;open_cluster;Autumn / Automne;6.7;Cassiopeia;Cassiopée;Cassiopeia;23:57:24.0;+56:42:30.0;8000;25';NGC7789.jpg;-;;
0;NGC7000;NGC7000;emission_nebula;Autumn / Automne;5;Cygnus;Cygnus;Cygnus;20:59:17.2;+44:31:07.00;2590;120' x 100';NGC7000.jpg;-;;
