TYPE;NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation;Location
0;M25;IC4725;open_cluster;Summer / Été;4;Archer;Sagittaire;Sagittarius;18:31:46.77;-19:06:53.8;2060;35,0';M25.jpg;http://www.lasam.ca/M025.JPG;Sgr;location/Messier-25-location.jpg
0;M26;NGC 6694;open_cluster;Summer / Été;8;Shield;L’Écu de Sobieski;Scutum;18:45:18.66;-09:23:01.0;5100;15,0';M26.jpg;http://www.lasam.ca/M026.JPG;Sct;location/Messier-26-location.jpg
0;M27;NGC 6853;planetary_nebula;Summer / Été;8;Little Fox;Petit Renard;Vulpecula;19:59:36.38;+22:43:15.7;980;348,0'';M27.jpg;http://www.lasam.ca/M027.JPG;Vul;location/Messier-27-location.jpg
0;M28;NGC 6626;globular_cluster;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:24:32.89;-24:52:11.4;19000;15,0';M28.jpg;http://www.lasam.ca/M028.JPG;Sgr;location/Messier-28-location.jpg
0;M29;NGC 6913;open_cluster;Summer / Été;6;Swan;Cygne;Cygnus;20:23:57.77;+38:30:27.6;4100;7,0';M29.jpg;http://www.lasam.ca/M029.JPG;Cyg;location/Messier-29-location.jpg
0;M30;NGC 7099;globular_cluster;Autumn / Automne;7;Goat;Capricorne;Capricornus;21:40:22.02;-23:10:44.7;41000;8,9';M30.jpg;http://www.lasam.ca/M030.JPG;Cap;location/Messier-30-location.jpg
0;M31;NGC 224;galaxy;Autumn / Automne;3;Andromeda;Andromède;Andromeda;00:42:44.35;+41:16:08.6;2500000;180,0' x 63,0';M31.jpg;http://www.lasam.ca/M031.JPG;And;location/Messier-31-location.jpg
0;M32;NGC 221;galaxy;Autumn / Automne;8;Andromeda;Andromède;Andromeda;00:42:41.83;+40:51:55.0;;7,6' x 5,8';M32.jpg;http://www.lasam.ca/M032.JPG;And;location/Messier-32-location.jpg
0;M33;NGC 598;galaxy;Autumn / Automne;5;Triangle;Triangle;Triangulum;01:33:50.89;+30:39:36.8;2723000;62,0. x 39,0';M33.jpg;http://www.lasam.ca/M033.JPG;Tri;location/Messier-33-location.jpg
0;M34;NGC 1039;open_cluster;Autumn / Automne;5;Perseus;Persée;Perseus;02:42:07.40;+42:44:46.1;1450;35,0';M34.jpg;http://www.lasam.ca/M034.JPG;Per;location/Messier-34-location.jpg
0;M35;NGC 2168;open_cluster;Winter / Hiver;5;Twins;Les Gémeaux;Gemini;06:09:05.06;+24:20:19.1;2800;30,0';M35.jpg;http://www.lasam.ca/M035.JPG;Gem;location/Messier-35-location.jpg
0;M36;NGC 1960;open_cluster;Winter / Hiver;6;Charioteer;Cocher;Auriga;05:36:17.74;+34:08:26.7;3700;12,0';M36.jpg;http://www.lasam.ca/M036.JPG;Aur;location/Messier-36-location.jpg
0;M37;NGC 2099;open_cluster;Winter / Hiver;5;Charioteer;Cocher;Auriga;05:52:18.35;+32:33:10.8;3600;24,0';M37.jpg;http://www.lasam.ca/M037.JPG;Aur;location/Messier-37-location.jpg
0;M38;NGC 1912;open_cluster;Winter / Hiver;6;Charioteer;Cocher;Auriga;05:28:42.49;+35:51:17.7;2750;21,0';M38.jpg;http://www.lasam.ca/M038.JPG;Aur;location/Messier-38-location.jpg
0;M39;NGC 7092;open_cluster;Autumn / Automne;4;Swan;Cygne;Cygnus;21:31:48.32;+48:26:17.4;880;32,0';M39.jpg;http://www.lasam.ca/M039.JPG;Cyg;location/Messier-39-location.jpg
0;M40;Winnecke 4;double_star;Spring / Printemps;9;;;;12:22:16.1;+58:05:04;;;M40.jpg;http://www.lasam.ca/M040.JPG;;location/Messier-40-location.jpg
0;M41;NGC 2287;open_cluster;Winter / Hiver;4;Great Dog;Grand Chien;Canis Major;06:45:59.94;-20:45:15.2;1600;30,0';M41.jpg;http://www.lasam.ca/M041.JPG;CMa;location/Messier-41-location.jpg
0;M42;NGC 9176;emission_nebula;Winter / Hiver;4;Orion, Hunter;Orion;Orion;05:35:16.48;-05:23:22.8;1500;30,0';M42.jpg;http://www.lasam.ca/M042.JPG;Ori;location/Messier-42-location.jpg
0;M43;NGC 1982;reflection_nebula;Winter / Hiver;9;Orion, Hunter;Orion;Orion;05:35:31.38;-05:16:02.9;1500;20,0' x 15,0';M43.jpg;http://www.lasam.ca/M043.JPG;Ori;location/Messier-43-location.jpg
0;M44;NGC 2632;open_cluster;Spring / Printemps;3;Crab;Cancer;Cancer;08:40:22.20;+19:40:19.4;520;70,0';M44.jpg;http://www.lasam.ca/M044.JPG;Cnc;location/Messier-44-location.jpg
0;M45;;open_cluster;Winter / Hiver;1;;;;03:47:24.0;+24:07:00.0;410;120,0';M45.jpg;http://www.lasam.ca/M045.JPG;;location/Messier-45-location.jpg
0;M46;NGC 2437;open_cluster;Winter / Hiver;6;Stern,Poop deck;Poupe;Puppis;07:41:46.82;-14:48:36.0;3200;24,0';M46.jpg;http://www.lasam.ca/M046.JPG;Pup;location/Messier-46-location.jpg
0;M47;NGC 2422;open_cluster;Winter / Hiver;4;Stern,Poop deck;Poupe;Puppis;07:36:35.02;-14:28:57.4;1750;22,0';M47.jpg;http://www.lasam.ca/M047.JPG;Pup;location/Messier-47-location.jpg
0;M48;NGC 2548;open_cluster;Winter / Hiver;5;Hydra, Sea Snake;Hydre;Hydra;08:13:43.18;-05:45:01.6;1500;42';M48.jpg;http://www.lasam.ca/M048.JPG;Hya;location/Messier-48-location.jpg
0;M49;NGC 4472;galaxy;Spring / Printemps;8;Virgin;Vierge;Virgo;12:29:46.76;+08:00:01.7;41000000;8,9' x 7,4';M49.jpg;http://www.lasam.ca/M049.JPG;Vir;location/Messier-49-location.jpg
