TYPE;NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation
1;Sun;Sun;star;N/A;-26.8;N/A;N/A;N/A;0;0;0;0;assets/appimages/Sun.jpg;-;
1;Moon;Moon;satellite;N/A;-12.7;N/A;N/A;N/A;0;0;0;0;assets/appimages/Moon.jpg;-;
1;Jupiter;Jupiter;planet;N/A;-2.7;N/A;N/A;N/A;0;0;0;0;assets/appimages/Jupiter.jpg;-;
1;Saturn;Saturn;planet;N/A;-0.4;N/A;N/A;N/A;0;0;0;0;assets/appimages/Saturn.jpg;-;
1;Mars;Mars;planet;N/A;-2.3;N/A;N/A;N/A;0;0;0;0;assets/appimages/Mars.jpg;-;
1;Venus;Venus;planet;N/A;-4.6;N/A;N/A;N/A;0;0;0;0;assets/appimages/Venus.jpg;-;
0;M1;NGC 1952;supernova_remnant;Winter / Hiver;8;Bull;Taureau;Taurus;05:34:31.97;+22:00:52.1;6500;6,0' x 4,0';assets/appimages/M1.jpg;http://www.lasam.ca/M001.JPG;Tau
0;M2;NGC 7089;globular_cluster;Autumn / Automne;6;Water Bearer;Verseau;Aquarius;21:33:27.01;-00:49:23.9;55000;11,7';assets/appimages/M2.jpg;http://www.lasam.ca/M002.JPG;Aqr
0;M3;NGC 5272;globular_cluster;Spring / Printemps;6;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:42:11.23;+28:22:31.6;48500;18,6';assets/appimages/M3.jpg;http://www.lasam.ca/M003.JPG;CVn
0;M4;NGC 6121;globular_cluster;Summer / Été;5;Scorpion;Scorpion;Scorpius;16:23:35.40;-26:31:31.9;9900;22,8';assets/appimages/M4.jpg;http://www.lasam.ca/M004.JPG;Sco
0;M5;NGC 5904;globular_cluster;Spring / Printemps;5;;;;15:18:33.75;+02:04:57.7;24800;19,9';assets/appimages/M5.jpg;http://www.lasam.ca/M005.JPG;Se1
0;M6;NGC 6504;open_cluster;Summer / Été;4;Scorpion;Scorpion;Scorpius;17:40:20.75;-32:15:15.0;1300;15,0';assets/appimages/M6.jpg;http://www.lasam.ca/M006.JPG;Sco
0;M7;NGC 6475;open_cluster;Summer / Été;3;Scorpion;Scorpion;Scorpius;17:53:51.18;-34:47:34.2;780;30,0';assets/appimages/M7.jpg;http://www.lasam.ca/M007.JPG;Sco
0;M8;NGC 6523;emission_nebula;Summer / Été;5;Archer;Sagittaire;Sagittarius;18:03:41.27;-24:22:48.6;4850;90,0' x 40,0';assets/appimages/M8.jpg;http://www.lasam.ca/M008.JPG;Sgr
0;M9;NGC 6333;globular_cluster;Summer / Été;7;Serpent Holder;Ophiuchus;Ophiuchus;17:19:11.78;-18:30:58.5;25800;5,5';assets/appimages/M9.jpg;http://www.lasam.ca/M009.JPG;Oph
0;M10;NGC 6254;globular_cluster;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;16:57:08.99;-04:05:57.6;16300;12,2';assets/appimages/M10.jpg;http://www.lasam.ca/M010.JPG;Oph
0;M11;NGC 6705;open_cluster;Summer / Été;5;Shield;L’Écu de Sobieski;Scutum;18:51:05.99;-06:16:12.1;5600;14,0';assets/appimages/M11.jpg;http://www.lasam.ca/M011.JPG;Sct
0;M12;NGC 6218;globular_cluster;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;16:47:14.52;-01:56:52.2;18900;12,2';assets/appimages/M12.jpg;http://www.lasam.ca/M012.JPG;Oph
0;M13;NGC 6205;globular_cluster;Summer / Été;5;Hercules;Hercule;Hercules;16:41:41.63;+36:27:40.7;23500;23,2';assets/appimages/M13.jpg;http://www.lasam.ca/M013.JPG;Her
