NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation
M27;NGC 6853;Planetary Nebula / Nébuleuse Planétaire;Summer / Été;8;Little Fox;Petit Renard;Vulpecula;19:59:36.38;+22:43:15.7;980;348,0'';/static/images/messier/M27.jpg;http://www.lasam.ca/messier/M027.JPG;Vul
M28;NGC 6626;Globular Cluster / Amas Globulaire;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:24:32.89;-24:52:11.4;19000;15,0';/static/images/messier/M28.jpg;http://www.lasam.ca/messier/M028.JPG;Sgr
M29;NGC 6913;Open Cluster / Amas Ouvert;Summer / Été;6;Swan;Cygne;Cygnus;20:23:57.77;+38:30:27.6;4100;7,0';/static/images/messier/M29.jpg;http://www.lasam.ca/messier/M029.JPG;Cyg
M30;NGC 7099;Globular Cluster / Amas Globulaire;Autumn / Automne;7;Goat;Capricorne;Capricornus;21:40:22.02;-23:10:44.7;41000;8,9';/static/images/messier/M30.jpg;http://www.lasam.ca/messier/M030.JPG;Cap
M31;NGC 224;Galaxy / Galaxie;Autumn / Automne;3;Andromeda;Andromède;Andromeda;00:42:44.35;+41:16:08.6;2500000;180,0' x 63,0';/static/images/messier/M31.jpg;http://www.lasam.ca/messier/M031.JPG;And
M32;NGC 221;Galaxy / Galaxie;Autumn / Automne;8;Andromeda;Andromède;Andromeda;00:42:41.83;+40:51:55.0;;7,6' x 5,8';/static/images/messier/M32.jpg;http://www.lasam.ca/messier/M032.JPG;And
M33;NGC 598;Galaxy / Galaxie;Autumn / Automne;5;Triangle;Triangle;Triangulum;01:33:50.89;+30:39:36.8;2723000;62,0. x 39,0';/static/images/messier/M33.jpg;http://www.lasam.ca/messier/M033.JPG;Tri
M34;NGC 1039;Open Cluster / Amas Ouvert;Autumn / Automne;5;Perseus;Persée;Perseus;02:42:07.40;+42:44:46.1;1450;35,0';/static/images/messier/M34.jpg;http://www.lasam.ca/messier/M034.JPG;Per
M35;NGC 2168;Open Cluster / Amas Ouvert;Winter / Hiver;5;Twins;Les Gémeaux;Gemini;06:09:05.06;+24:20:19.1;2800;30,0';/static/images/messier/M35.jpg;http://www.lasam.ca/messier/M035.JPG;Gem
M36;NGC 1960;Open Cluster / Amas Ouvert;Winter / Hiver;6;Charioteer;Cocher;Auriga;05:36:17.74;+34:08:26.7;3700;12,0';/static/images/messier/M36.jpg;http://www.lasam.ca/messier/M036.JPG;Aur
M37;NGC 2099;Open Cluster / Amas Ouvert;Winter / Hiver;5;Charioteer;Cocher;Auriga;05:52:18.35;+32:33:10.8;3600;24,0';/static/images/messier/M37.jpg;http://www.lasam.ca/messier/M037.JPG;Aur
M38;NGC 1912;Open Cluster / Amas Ouvert;Winter / Hiver;6;Charioteer;Cocher;Auriga;05:28:42.49;+35:51:17.7;2750;21,0';/static/images/messier/M38.jpg;http://www.lasam.ca/messier/M038.JPG;Aur
M39;NGC 7092;Open Cluster / Amas Ouvert;Autumn / Automne;4;Swan;Cygne;Cygnus;21:31:48.32;+48:26:17.4;880;32,0';/static/images/messier/M39.jpg;http://www.lasam.ca/messier/M039.JPG;Cyg
M40;Winnecke 4;Double star / Étoile Double;Spring / Printemps;9;;;;12:22:16.1;+58:05:04;;;/static/images/messier/M40.jpg;http://www.lasam.ca/messier/M040.JPG;
M41;NGC 2287;Open Cluster / Amas Ouvert;Winter / Hiver;4;Great Dog;Grand Chien;Canis Major;06:45:59.94;-20:45:15.2;1600;30,0';/static/images/messier/M41.jpg;http://www.lasam.ca/messier/M041.JPG;CMa
M42;NGC 9176;Emission Nebula / Nébuleuse à émission;Winter / Hiver;4;Orion, Hunter;Orion;Orion;05:35:16.48;-05:23:22.8;1500;30,0';/static/images/messier/M42.jpg;http://www.lasam.ca/messier/M042.JPG;Ori
M43;NGC 1982;Reflection Nebula / Nébuleuse à réflexion;Winter / Hiver;9;Orion, Hunter;Orion;Orion;05:35:31.38;-05:16:02.9;1500;20,0' x 15,0';/static/images/messier/M43.jpg;http://www.lasam.ca/messier/M043.JPG;Ori
M44;NGC 2632;Open Cluster / Amas Ouvert;Spring / Printemps;3;Crab;Cancer;Cancer;08:40:22.20;+19:40:19.4;520;70,0';/static/images/messier/M44.jpg;http://www.lasam.ca/messier/M044.JPG;Cnc
M45;;Open Cluster / Amas Ouvert;Winter / Hiver;1;;;;03:47:24.0;+24:07:00.0;410;120,0';/static/images/messier/M45.jpg;http://www.lasam.ca/messier/M045.JPG;
M46;NGC 2437;Open Cluster / Amas Ouvert;Winter / Hiver;6;Stern,Poop deck;Poupe;Puppis;07:41:46.82;-14:48:36.0;3200;24,0';/static/images/messier/M46.jpg;http://www.lasam.ca/messier/M046.JPG;Pup
M47;NGC 2422;Open Cluster / Amas Ouvert;Winter / Hiver;4;Stern,Poop deck;Poupe;Puppis;07:36:35.02;-14:28:57.4;1750;22,0';/static/images/messier/M47.jpg;http://www.lasam.ca/messier/M047.JPG;Pup
M48;NGC 2548;Open Cluster / Amas Ouvert;Winter / Hiver;5;Hydra, Sea Snake;Hydre;Hydra;08:13:43.18;-05:45:01.6;1500;42';/static/images/messier/M48.jpg;http://www.lasam.ca/messier/M048.JPG;Hya
M49;NGC 4472;Galaxy / Galaxie;Spring / Printemps;8;Virgin;Vierge;Virgo;12:29:46.76;+08:00:01.7;41000000;8,9' x 7,4';/static/images/messier/M49.jpg;http://www.lasam.ca/messier/M049.JPG;Vir
M50;NGC 2323;Open Cluster / Amas Ouvert;Winter / Hiver;5;Unicorn;Licorne;Monoceros;07:02:40.47;-08:21:50.5;2950;16,0. x 5,5';/static/images/messier/M50.jpg;http://www.lasam.ca/messier/M050.JPG;Mon
M51;NGC 5194;Galaxy / Galaxie;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:29:52.71;+47:11:42.6;37000000;11,0' x 7,8';/static/images/messier/M51.jpg;http://www.lasam.ca/messier/M051.JPG;CVn
M52;NGC 7654;Open Cluster / Amas Ouvert;Autumn / Automne;6;Cassiopeia;Cassiopée;Cassiopeia;23:24:48.40;+61:35:35.4;3000;13,0';/static/images/messier/M52.jpg;http://www.lasam.ca/messier/M052.JPG;Cas
M53;NGC 5024;Globular Cluster / Amas Globulaire;Spring / Printemps;7;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;13:12:55.23;+18:10:08.8;69000;14,4';/static/images/messier/M53.jpg;http://www.lasam.ca/messier/M053.JPG;Com
M54;NGC 6715;Globular Cluster / Amas Globulaire;Summer / Été;7;Archer;Sagittaire;Sagittarius;18:55:03.27;-30:28:42.6;49000;5,5';/static/images/messier/M54.jpg;http://www.lasam.ca/messier/M054.JPG;Sgr
M55;NGC 6809;Globular Cluster / Amas Globulaire;Summer / Été;7;Archer;Sagittaire;Sagittarius;19:39:59.40;-30:57:43.5;20000;14,8';/static/images/messier/M55.jpg;http://www.lasam.ca/messier/M055.JPG;Sgr
M56;NGC 6779;Globular Cluster / Amas Globulaire;Summer / Été;8;Lyre;Lyre;Lyra;19:16:35.51;+30:11:04.2;45600;2,4';/static/images/messier/M56.jpg;http://www.lasam.ca/messier/M056.JPG;Lyr
M57;NGC 6720;Planetary Nebula / Nébuleuse Planétaire;Summer / Été;9;Lyre;Lyre;Lyra;18:53:35.01;+33:01:42.9;1410;71'';/static/images/messier/M57.jpg;http://www.lasam.ca/messier/M057.JPG;Lyr
